filename,survey,longitude,latitude,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_001_0002__PS96_001-4_2015-12-23_3416.jpg,PS96,-11.1105,-70.887,3.426108386734631,14155776.0,1,0,4,7,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
PS96_001_0029__PS96_001-4_2015-12-23_3423.jpg,PS96,-11.1123,-70.8875,4.134611474581296,14155776.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0007__PS96_007-1_2015-12-29_3732.jpg,PS96,-26.9744,-74.6603,1.5480463867444811,14155776.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_026_0009__PS96_026-3_2016-01-08_4639.jpg,PS96,-37.9172,-75.2691,2.8085593021460347,14155776.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_061_0011__PS96_061-1_2016-01-21_1156.jpg,PS96,-30.3115,-76.0971,2.040362299877142,14155776.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_001_0004__PS96_001-4_2015-12-23_3439.jpg,PS96,-11.1166,-70.8885,3.932965967857922,14155776.0,0,0,1,0,18,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0
PS96_001_0008__PS96_001-4_2015-12-23_3535.jpg,PS96,-11.1365,-70.8933,2.7740904234098545,14155776.0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_001_0011__PS96_001-4_2015-12-23_3502.jpg,PS96,-11.1321,-70.892,2.3426350500543824,14155776.0,0,0,1,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
PS96_001_0013__PS96_001-4_2015-12-23_3517.jpg,PS96,-11.1342,-70.8925,3.2249070622459595,14155776.0,0,0,1,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PS96_001_0014__PS96_001-4_2015-12-23_3544.jpg,PS96,-11.1372,-70.8938,2.759916635847306,14155776.0,0,0,1,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0
PS96_001_0016__PS96_001-4_2015-12-23_3476.jpg,PS96,-11.1259,-70.8902,3.085660447816345,14155776.0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS96_007_0004__PS96_007-1_2015-12-29_3617.jpg,PS96,-26.9432,-74.657,2.438491160613346,14155776.0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PS96_008_0004__PS96_008-2_2015-12-30_3912.jpg,PS96,-29.4171,-74.9182,2.5597287380056923,14155776.0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
PS96_001_0006__PS96_001-4_2015-12-23_3583.jpg,PS96,-11.1426,-70.8954,1.9269461599017104,14155776.0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
