filename,area,area_pix,antarctic_scallop-antarctic_scallop,barnacles-bathylasmatidae,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-antipatharia,octocorals_bottle_brush_simple-gorgonacea,brachiopods-brachiopoda,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,anemones_colonial-zoantharia,octocorals_branching_bushy-alcyonacea,stony_corals_solitary-scleractinia,octocorals_seafan_fern_simple-antipatharia,stony_corals_colonial-scleractinia,octocorals_seafan_flexible-alcyonacea
PS96_001_0002__PS96_001-4_2015-12-23_3416.jpg,3.426108386734631,14155776.0,18723.389560570595,0.0,444243.6149103838,815249.26828746,455751.3495394144,0.0,0.0,0.0,0.0,0.0,41013.47481385515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0029__PS96_001-4_2015-12-23_3423.jpg,4.134611474581296,14155776.0,12876.007242934042,0.0,0.0,11560.73805134742,32685.129967948207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0007__PS96_007-1_2015-12-29_3732.jpg,1.5480463867444811,14155776.0,19950.67189441063,0.0,0.0,0.0,8494.8665353068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0009__PS96_026-3_2016-01-08_4639.jpg,2.8085593021460347,14155776.0,8938.319931279862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0011__PS96_061-1_2016-01-21_1156.jpg,2.040362299877142,14155776.0,0.0,5830.288625155722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0004__PS96_001-4_2015-12-23_3439.jpg,3.932965967857922,14155776.0,0.0,0.0,63928.33959373341,0.0,353503.0122659447,0.0,0.0,0.0,156521.70750120142,0.0,0.0,0.0,0.0,2827.4333882308138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0008__PS96_001-4_2015-12-23_3535.jpg,2.7740904234098545,14155776.0,0.0,0.0,76287.2595354425,0.0,137624.61487846862,0.0,0.0,0.0,86754.83120508159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0011__PS96_001-4_2015-12-23_3502.jpg,2.3426350500543824,14155776.0,0.0,0.0,120527.38091159442,0.0,133421.3226033154,0.0,0.0,0.0,0.0,0.0,18913.04154004177,0.0,0.0,3208.9534266310043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0013__PS96_001-4_2015-12-23_3517.jpg,3.2249070622459595,14155776.0,0.0,0.0,36650.09760287171,116787.4432029892,116113.51507217578,0.0,0.0,0.0,19611.64378160584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0014__PS96_001-4_2015-12-23_3544.jpg,2.759916635847306,14155776.0,0.0,0.0,38336.80910559036,0.0,62679.222802050266,0.0,0.0,0.0,90363.75541095191,0.0,0.0,0.0,0.0,25380.78536252326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0016__PS96_001-4_2015-12-23_3476.jpg,3.085660447816345,14155776.0,0.0,0.0,37957.9991839263,17051.550909993886,112635.6762524846,0.0,20116.247336103224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0004__PS96_007-1_2015-12-29_3617.jpg,2.438491160613346,14155776.0,0.0,0.0,45806.188035206826,0.0,58628.742021617836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127416.50153015362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0004__PS96_008-2_2015-12-30_3912.jpg,2.5597287380056923,14155776.0,0.0,0.0,16604.228236091596,0.0,129652.51973409043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18242.062694362183,3221.013372509605,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0006__PS96_001-4_2015-12-23_3583.jpg,1.9269461599017104,14155776.0,0.0,0.0,342513.5091061834,44361.075520748505,168635.48676903604,0.0,20652.72454718614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0005__PS96_008-2_2015-12-30_3985.jpg,2.3491873325807884,14155776.0,0.0,0.0,9160.884177867836,0.0,44716.701295860745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0002__PS96_057-3_2016-01-21_0956.jpg,3.2136780451511915,14155776.0,0.0,0.0,26015.528764377075,0.0,233432.85843499444,0.0,33212.76799394098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0008__PS96_008-2_2015-12-30_4027.jpg,2.5611310291069422,14155776.0,0.0,0.0,18626.502843133883,0.0,92653.11698123791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.056757948558,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0025__PS96_090-4_2016-01-29_1639.jpg,2.9287043938726445,14155776.0,0.0,0.0,28352.873698647883,0.0,78426.7190042156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57349.63597536419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0017__PS96_061-1_2016-01-21_1188.jpg,3.261112447258176,14155776.0,0.0,0.0,114168.70950272003,16286.016316209487,125425.64410628432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19507.531086906605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0013__PS96_090-4_2016-01-29_1659.jpg,2.5941389872952847,14155776.0,0.0,0.0,46813.13885235779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0023__PS96_090-4_2016-01-29_1663.jpg,2.9149291975746254,14155776.0,0.0,0.0,23653.154447275854,0.0,0.0,0.0,0.0,0.0,0.0,21701.611643091925,0.0,0.0,0.0,0.0,16787.44591964895,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0024__PS96_090-4_2016-01-29_1703.jpg,2.515082202158404,14155776.0,0.0,0.0,361132.01180269243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266998.02327511826,163957.84348924077,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0010__PS96_008-2_2015-12-30_4064.jpg,2.1661911253566593,14155776.0,0.0,0.0,3392.227658856126,0.0,54567.377381580125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0005__PS96_001-4_2015-12-23_3481.jpg,3.403261459494913,14155776.0,0.0,0.0,0.0,15091.821864515588,191403.44816315832,0.0,0.0,307329.9986778156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0001__PS96_007-1_2015-12-29_3660.jpg,2.6576741136633446,14155776.0,0.0,0.0,0.0,19945.66513819861,23211.123250297074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0009__PS96_007-1_2015-12-29_3628.jpg,4.194341079217909,14155776.0,0.0,0.0,0.0,34504.23777808284,30003.477788577515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38158.551233268365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0016__PS96_007-1_2015-12-29_3818.jpg,2.4542642809078137,14155776.0,0.0,0.0,0.0,114625.2205278128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116040.99559343483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0024__PS96_007-1_2015-12-29_3644.jpg,2.9713047454744097,14155776.0,0.0,0.0,0.0,11951.94546299245,22140.696239421064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108640.04638559348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0001__PS96_008-2_2015-12-30_3877.jpg,2.9034196842183326,14155776.0,0.0,0.0,0.0,24672.511727975118,39836.29020142485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39867.77400150141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0003__PS96_008-2_2015-12-30_3950.jpg,2.7673485496499657,14155776.0,0.0,0.0,0.0,8478.538107489769,85243.1738005435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0006__PS96_008-2_2015-12-30_4070.jpg,2.643848506937581,14155776.0,0.0,0.0,0.0,35659.50067113567,21518.890592005282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0002__PS96_010-3_2016-01-01_4331.jpg,2.3998479280934184,14155776.0,0.0,0.0,0.0,34995.32429242616,113637.9952272907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166.9217443593607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0008__PS96_010-3_2016-01-01_4201.jpg,2.9374116677792057,14155776.0,0.0,0.0,0.0,11651.57024956036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0010__PS96_010-3_2016-01-01_4256.jpg,2.771729244723843,14155776.0,0.0,0.0,0.0,42160.62937968514,39610.50831435602,0.0,28832.406401291828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0012__PS96_010-3_2016-01-01_4140.jpg,2.7680580031884805,14155776.0,0.0,0.0,0.0,1908.902382155864,40674.6705156565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0017__PS96_010-3_2016-01-01_4312.jpg,2.5053953432765224,14155776.0,0.0,0.0,0.0,22001.713900123395,20578.22639298663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0023__PS96_010-3_2016-01-01_4246.jpg,2.507699680847211,14155776.0,0.0,0.0,0.0,9315.118546145404,45527.938904004724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49539.04843259974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0006__PS96_057-3_2016-01-21_1024.jpg,4.8141096422691305,14155776.0,0.0,0.0,0.0,104659.53059855085,23370.620652682766,0.0,0.0,0.0,62802.17413183813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0012__PS96_057-3_2016-01-21_0972.jpg,3.7831995376198058,14155776.0,0.0,0.0,0.0,37316.78890792143,203909.89800200416,0.0,0.0,0.0,96596.59295929206,0.0,0.0,0.0,0.0,12361.956605168047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0006__PS96_061-1_2016-01-21_1094.jpg,2.547802592476868,14155776.0,0.0,0.0,0.0,61186.63902501446,27418.864706284072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0007__PS96_061-1_2016-01-21_1113.jpg,2.780342068721307,14155776.0,0.0,0.0,0.0,126322.3109490356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0008__PS96_061-1_2016-01-21_1254.jpg,2.7528320557555235,14155776.0,0.0,0.0,0.0,32381.42373599939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28952.917895483533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0012__PS96_061-1_2016-01-21_1101.jpg,2.249628094596367,14155776.0,0.0,0.0,0.0,72556.76341573331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0019__PS96_061-1_2016-01-21_1271.jpg,3.914684773661293,14155776.0,0.0,0.0,0.0,76918.46140098566,34874.820047500296,0.0,0.0,0.0,24608.092506953504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0011__PS96_090-4_2016-01-29_1607.jpg,,14155776.0,0.0,0.0,0.0,36895.26350089578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57107.18670598967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0016__PS96_090-4_2016-01-29_1628.jpg,3.1603597710225264,14155776.0,0.0,0.0,0.0,15067.71006457602,137105.40708029424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43743.53610858428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0018__PS96_090-4_2016-01-29_1737.jpg,2.6739618618352563,14155776.0,0.0,0.0,0.0,73525.83380726779,59030.31249481728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12988.451127191329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0006__PS96_106-2_2016-01-31_0015.jpg,,14155776.0,0.0,0.0,0.0,41594.11802566593,31588.855189355516,0.0,0.0,0.0,0.0,104925.01930404194,0.0,0.0,0.0,351010.4453227304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0009__PS96_106-2_2016-01-31_0093.jpg,,14155776.0,0.0,0.0,0.0,21977.25370016863,236027.17177058352,0.0,0.0,0.0,0.0,143367.2129576694,0.0,0.0,0.0,15056.467323269882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0012__PS96_106-2_2016-01-31_0028.jpg,,14155776.0,0.0,0.0,0.0,10078.462600000668,9986.519812773178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16150.582256913232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0006__PS96_010-3_2016-01-01_4274.jpg,2.6835862453681423,14155776.0,0.0,0.0,0.0,13342.297575298351,133611.30806177267,0.0,52978.62344829285,0.0,79938.8918028803,0.0,0.0,0.0,46233.872000849085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0019__PS96_090-4_2016-01-29_1577.jpg,,14155776.0,0.0,0.0,0.0,53859.8091624612,311354.0973803623,0.0,0.0,0.0,0.0,25136.833153149648,0.0,0.0,0.0,103622.29208600573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0001__PS96_106-2_2016-01-31_0127.jpg,,14155776.0,0.0,0.0,0.0,0.0,52469.38792958701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0007__PS96_001-4_2015-12-23_3426.jpg,4.117292961303673,14155776.0,0.0,0.0,0.0,0.0,37886.07990466509,0.0,0.0,0.0,6666.074305705425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0017__PS96_001-4_2015-12-23_3411.jpg,3.3103633708430706,14155776.0,0.0,0.0,0.0,0.0,23551.41265223689,0.0,0.0,0.0,54503.19852443777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0002__PS96_007-1_2015-12-29_3725.jpg,1.71330845785912,14155776.0,0.0,0.0,0.0,0.0,30870.179427372066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.194399759285,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0003__PS96_007-1_2015-12-29_3697.jpg,1.8615606185317684,14155776.0,0.0,0.0,0.0,0.0,40773.7917147385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0005__PS96_007-1_2015-12-29_3638.jpg,1.892119218246309,14155776.0,0.0,0.0,0.0,0.0,18660.38460574358,0.0,0.0,0.0,62472.500739477924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0006__PS96_007-1_2015-12-29_3765.jpg,2.2427568032859027,14155776.0,0.0,0.0,0.0,0.0,24190.971547625526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0008__PS96_007-1_2015-12-29_3705.jpg,2.3176438094665412,14155776.0,0.0,0.0,0.0,0.0,6254.736300745738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55181.84530988174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0010__PS96_007-1_2015-12-29_3806.jpg,2.2850145637601202,14155776.0,0.0,0.0,0.0,0.0,9482.594575328983,0.0,0.0,0.0,9160.884177867836,0.0,0.0,0.0,0.0,22204.038287139796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0013__PS96_007-1_2015-12-29_3649.jpg,2.3562421079054983,14155776.0,0.0,0.0,0.0,0.0,17249.88835825737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0015__PS96_007-1_2015-12-29_3664.jpg,2.1548875707998287,14155776.0,0.0,0.0,0.0,0.0,25401.302475825323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0017__PS96_007-1_2015-12-29_3830.jpg,2.6477199470805317,14155776.0,0.0,0.0,0.0,0.0,27354.621637395438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0018__PS96_007-1_2015-12-29_3701.jpg,1.7204358422260393,14155776.0,0.0,0.0,0.0,0.0,19706.07974261348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0019__PS96_007-1_2015-12-29_3758.jpg,2.0458907192275015,14155776.0,0.0,0.0,0.0,0.0,24168.410828302298,0.0,0.0,0.0,36922.6989488286,0.0,0.0,0.0,0.0,34129.926124026315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0021__PS96_007-1_2015-12-29_3793.jpg,2.436735037763749,14155776.0,0.0,0.0,0.0,0.0,20292.346484866815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0022__PS96_007-1_2015-12-29_3745.jpg,2.1131450913704084,14155776.0,0.0,0.0,0.0,0.0,19162.489965762834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0025__PS96_007-1_2015-12-29_3840.jpg,1.750874087194295,14155776.0,0.0,0.0,0.0,0.0,24468.761223152425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0026__PS96_007-1_2015-12-29_3843.jpg,2.084166418034557,14155776.0,0.0,0.0,0.0,0.0,19059.57798777581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0007__PS96_008-2_2015-12-30_4104.jpg,2.547204215072041,14155776.0,0.0,0.0,0.0,0.0,54861.40160257851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0011__PS96_008-2_2015-12-30_3929.jpg,2.456526683955127,14155776.0,0.0,0.0,0.0,0.0,24068.154124426088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0015__PS96_008-2_2015-12-30_3886.jpg,2.877874856872669,14155776.0,0.0,0.0,0.0,0.0,16687.967388273035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0017__PS96_008-2_2015-12-30_4105.jpg,2.487125964944491,14155776.0,0.0,0.0,0.0,0.0,101888.49744956977,0.0,0.0,0.0,32929.119876433666,0.0,0.0,0.0,0.0,6188.583155920568,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0009__PS96_010-3_2016-01-01_4338.jpg,2.7687030233476206,14155776.0,0.0,0.0,0.0,0.0,117991.54229948814,0.0,0.0,0.0,14347.830834770246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0011__PS96_010-3_2016-01-01_4297.jpg,1.3832720729635186,14155776.0,0.0,0.0,0.0,0.0,51793.765743133794,0.0,0.0,0.0,0.0,0.0,15393.804002589986,0.0,34804.963486385466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0024__PS96_010-3_2016-01-01_4345.jpg,2.5030718797406277,14155776.0,0.0,0.0,0.0,0.0,155346.5935389352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32931.17364164752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0015__PS96_090-4_2016-01-29_1544.jpg,,14155776.0,0.0,0.0,0.0,0.0,235588.0456375499,0.0,0.0,0.0,0.0,0.0,25390.383242239248,0.0,0.0,11364.09095981199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0007__PS96_057-3_2016-01-21_1042.jpg,4.658614842719368,14155776.0,0.0,0.0,0.0,0.0,215431.06402487174,0.0,23713.1635793484,0.0,0.0,0.0,0.0,0.0,0.0,2374.1018824770717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0006__PS96_026-3_2016-01-08_4615.jpg,2.6723943583403784,14155776.0,0.0,0.0,0.0,0.0,7542.9639612690935,8489.54138444044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0013__PS96_010-3_2016-01-01_4221.jpg,2.2405322140837094,14155776.0,0.0,0.0,0.0,0.0,61522.38927034047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0016__PS96_010-3_2016-01-01_4128.jpg,1.575817812359099,14155776.0,0.0,0.0,0.0,0.0,256061.99339962724,0.0,648713.6311587021,0.0,0.0,0.0,0.0,0.0,89918.26406382448,8494.8665353068,6647.610054996002,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0019__PS96_010-3_2016-01-01_4340.jpg,3.557094549455006,14155776.0,0.0,0.0,0.0,0.0,63107.732272969064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0020__PS96_010-3_2016-01-01_4300.jpg,2.300128286898384,14155776.0,0.0,0.0,0.0,0.0,68867.59009216234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0021__PS96_010-3_2016-01-01_4192.jpg,2.616064068951834,14155776.0,0.0,0.0,0.0,0.0,6227.226332304631,0.0,6852.436014907408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0003__PS96_026-3_2016-01-08_4593.jpg,3.2575681321398786,14155776.0,0.0,0.0,0.0,0.0,17541.996800108827,10887.745088755846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0012__PS96_026-3_2016-01-08_4623.jpg,2.977057657749359,14155776.0,0.0,0.0,0.0,0.0,3371.612527863269,4778.362426110075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0020__PS96_026-3_2016-01-08_4647.jpg,2.3632999882339725,14155776.0,0.0,0.0,0.0,0.0,14676.002218026377,2827.4333882308138,0.0,0.0,19113.08201833573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0011__PS96_057-3_2016-01-21_1000.jpg,3.789485665534116,14155776.0,0.0,0.0,0.0,0.0,123259.02069214275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38593.94243740493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0008__PS96_057-3_2016-01-21_0993.jpg,4.450301254291608,14155776.0,0.0,0.0,0.0,0.0,110943.6783089671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0007__PS96_106-2_2016-01-31_0114.jpg,,14155776.0,0.0,0.0,0.0,0.0,54263.925971896446,0.0,0.0,0.0,30577.646500492836,104671.10211285256,0.0,0.0,0.0,66345.99840171543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0007__PS96_090-4_2016-01-29_1521.jpg,,14155776.0,0.0,0.0,0.0,0.0,27121.133571381404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0001__PS96_057-3_2016-01-21_0978.jpg,3.8923988306604964,14155776.0,0.0,0.0,0.0,0.0,94242.39691602779,0.0,28781.478348664485,0.0,71561.40091302792,0.0,0.0,0.0,0.0,4071.5040790523717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0003__PS96_090-4_2016-01-29_1789.jpg,3.0325816765162945,14155776.0,0.0,0.0,0.0,0.0,147014.55972298465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.335349538866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0001__PS96_090-4_2016-01-29_1786.jpg,2.3380587074458927,14155776.0,0.0,0.0,0.0,0.0,37174.657192920626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
