morpho_taxon,source
bryozoans_hard_branching_antler-bryozoans,coralnet
hydrocorals_branching-stylasterids,coralnet
bryozoans_hard_branching_leaf-bryozoans,coralnet
bryozoans_hard_lettuce-bryozoans,coralnet
bryozoans_soft_dendroid-bryozoans,coralnet
bryozoans_hard_encrusting-bryozoans,coralnet
sponges_massive_round-porifera,coralnet
sponges_massive_simple-porifera,coralnet
bryozoans_soft_foliaceous-bryozoans,coralnet
bryozoans_hard_branching_coralhead-bryozoans,coralnet
sponges_crust_encrusting-porifera,coralnet
sponges_erect_palmate-porifera,coralnet
sponges_bead-porifera,coralnet
bryozoans_soft_fan-bryozoans,coralnet
sponges_hollow_tube_chimney-porifera,coralnet
bryozoans_hard_fenestrate-bryozoans,coralnet
sponges_erect_simple-porifera,coralnet
bryozoans_purple-bryozoans,coralnet
sponges_cup_table_disc-porifera,coralnet
sponges_massive_barrel-porifera,coralnet
sponges_erect_laminar-porifera,coralnet
sponges_massive_cryptic-porifera,coralnet
sponges_cup_cup_goblet-porifera,coralnet
sponges_crust_creeping_ramose-porifera,coralnet
sponges_erect_stalked-porifera,coralnet
sponges_erect_branching-porifera,coralnet
sponges_cup_incomplete_curled-porifera,coralnet
antarctic_scallop-antarctic_scallop,biigle839
barnacles-bathylasmatidae,biigle839
octocorals_bottle_brush_complex-gorgonacea,biigle839
octocorals_bottle_brush_simple-antipatharia,biigle839
octocorals_bottle_brush_simple-gorgonacea,biigle839
brachiopods-brachiopoda,biigle839
octocorals_branching_arborescent-gorgonacea,biigle839
octocorals_branching_bushy-gorgonacea,biigle839
hydroids_colonial_feather-hydroidolina,biigle839
octocorals_fleshy_arborescent-alcyonacea,biigle839
octocorals_fleshy_mushroom-alcyonacea,biigle839
octocorals_quill-pennatulacea,biigle839
octocorals_seafan_flexible-gorgonacea,biigle839
anemones_solitary-actiniaria,biigle839
hydroids_solitary-hydroidolina,biigle839
anemones_colonial-zoantharia,biigle839
octocorals_branching_bushy-alcyonacea,biigle839
stony_corals_solitary-scleractinia,biigle839
octocorals_seafan_fern_simple-antipatharia,biigle839
stony_corals_colonial-scleractinia,biigle839
octocorals_seafan_flexible-alcyonacea,biigle839
