"n_annotation","area_pix","area","cellID","antarctic_scallop","bathylasmatidae","gorgonacea","antipatharia","brachiopoda","hydroidolina","alcyonacea","pennatulacea","actiniaria","zoantharia","scleractinia","bryozoans","stylasterids","porifera","survey","longitude","latitude","filename","proj_coord_x","proj_coord_y"
216,NA,NA,40846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-42.4826586206897,-60.6704134482759,"JR15005_129_0004__Event_129_P04A20160316095042.png",-2186575.80834234,2387679.21645423
108,NA,NA,50805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925925925925926,0,1.85185185185185,3,-42.4895275862069,-60.6707610344828,"JR15005_129_0003__Event_129_P28A20160316105126.png",-2186836.73389236,2387389.43013677
216,5018400,NA,50806,0,0,0.792581708225212,0,0,0,0,0,0,0,0,0,0,0.462962962962963,3,-42.4869517241379,-60.6706306896552,"JR15005_129_0005__Event_129_P19A20160316102515.png",-2186738.89127306,2387498.10331878
324,5018400,NA,210127,0,0,0,0,0,0.107296432021098,0,0,0,0,0,0.308641975308642,0,0,3,-42.8352689655172,-60.6078627586207,"JR15005_135_0005__Event_135_P19A20160316203246.png",-2205812.55671291,2379121.56003027
216,NA,NA,210128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462962962962963,0,0,3,-42.8315448275862,-60.6086437931034,"JR15005_135_0004__Event_135_P04A20160316195923.png",-2205600.68376992,2379203.19592928
324,NA,NA,498980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.308641975308642,3.08641975308642,3,-42.9261172413793,-60.7468403448276,"JR15005_117_0002__Event_117_P13A120160315105348.png",-2199378.93257501,2364651.124551
108,NA,NA,498981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-42.9234793103448,-60.7469675862069,"JR15005_117_0004__Event_117_P04A20160315102647.png",-2199260.71765186,2364742.33707031
108,NA,NA,508940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.77777777777778,3,-42.9305137931035,-60.7466282758621,"JR15005_117_0003__Event_117_P28B20160315112851.png",-2199575.94913563,2364499.09062808
432,5018400,NA,518892,0,0,0,0,0,0,0,0,0,0,1.13012007208442,1.38888888888889,0.231481481481481,0,3,-42.9909933333333,-60.728988,"JR15005_123_0002__Event_123_P14A20160315210903.png",-2203367.45674891,2363567.10920833
108,NA,NA,518893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85185185185185,0.925925925925926,0.925925925925926,3,-42.98846,-60.729728,"JR15005_123_0004__Event_123_P04A20160315204342.png",-2203208.55116602,2363606.17022059
523,10036800,NA,558739,0,0,0,0,0,0,0.447581060190053,0,0,0,0.0515694744081363,0.573613766730402,0.573613766730402,2.86806883365201,3,-42.9688413793103,-60.7602344827586,"JR15005_111_0004__Event_111_P04A20160315002513.png",-2200157.27141874,2361953.7409281
540,NA,NA,1235858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555555555555556,0.37037037037037,0,3,-44.4134310344828,-60.4772379310345,"JR15005_099_0004__Event_99_P04A20160313174244.png",-2280349.50442295,2327524.53831468
108,5018400,NA,1385246,0,0,0,0,0,0,0,0,0,0,2.81997064706406,0,0,0,3,-44.5799,-60.4829733333333,"JR15005_089_0001__Event_89_P07A20160312213445.png",-2286668.58148457,2320449.16472668
108,5018400,NA,1415110,0,0,0,0,0,0,0,0,0.159017774488734,0,0,0.925925925925926,0,0,3,-44.7004533333333,-60.4449953333333,"JR15005_097_0003__Event_97_P29A20160313143916.png",-2294424.04182276,2318541.19252285
432,15055200,NA,1415111,0,0,1.25274408826296,0,0,0,0.186862013252131,0,0,0.109095108167314,0,0.694444444444444,0,0,3,-44.69487,-60.447187,"JR15005_097_0004__Event_97_P04A20160313134314.png",-2294032.02204115,2318596.91645018
209,5018400,NA,2470846,0,0,1.5877863683656,0,0,0,0,0,0,0,0,3.82775119617225,0,0.478468899521531,5,-45.50927,-60.71283,"JR262_134_0002__SY2_mountain_1b20111119142805.png",-2306332.80968023,2265693.56519404
519,5018400,NA,2470848,0,0,0,0,0,0,0,0,3.99977586084919,0,0,0.192678227360308,0,0.192678227360308,5,-45.49641,-60.71711,"JR262_133_0004__SY2_12_20111119132023.png",-2305495.13327199,2265887.73164638
524,5018400,NA,2570501,0,0,1.78394285251194,0,0,0,0,0,0.263759321183452,0,0,0,0,0,5,-45.23599,-60.9251,"JR262_127_0004__SY1_12b20111118213514.png",-2279247.84094292,2260549.20776314
324,NA,NA,2759511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.7565210526316,-60.2186478947368,"JR15005_087_0002__Event_87_P09A20160312070243.png",-2393889.16100605,2251432.54908358
108,NA,NA,2769514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.5090448275862,-60.3695682758621,"JR15005_072_0003__Event_72_P28A20160310191805.png",-2372350.58986146,2250564.99860149
431,NA,NA,2769515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.5038103448276,-60.3717334482759,"JR15005_072_0004__Event_72_P05A20160310180610.png",-2371975.78417702,2250621.19406855
426,NA,NA,2898979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.6828368421053,-60.3550915789474,"JR15005_064_0004__Event_64_P03A20160310043446.png",-2380300.70984186,2244428.51320728
108,NA,NA,2908954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.5987333333333,-60.4143533333333,"JR15005_060_0001__Event_060_P07A20160309212817.png",-2372365.44290676,2243533.82733897
540,15055200,NA,2918887,0,0,1.38537586076801,0,0,0,0,0,0.784880626531794,0.274873481453874,0,0,0,0,3,-46.7652620689655,-60.3213648275862,"JR15005_067_0004__Event_67_P04A20160310085420.png",-2386173.64119092,2243490.23624628
216,10036800,NA,2928832,0,0,3.67557459511099,0,0,0,0,0,0,0,0,0,0.462962962962963,0,3,-46.8614724137931,-60.2784079310345,"JR15005_078_0001__Event_78_P20A20160311083056.png",-2393313.39446696,2242643.59489034
324,15055200,NA,2928833,0,0,4.11932219213797,0,0,0,0,0,0.209702530355971,0.0172720174153881,0,0.308641975308642,0,0,3,-46.8585482758621,-60.2802286206897,"JR15005_078_0004__Event_78_P04A20160311074235.png",-2393055.86664719,2242631.66035448
521,NA,NA,2998740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5,-45.76234,-60.92768,"JR262_135_0004__SY3_11b20111119182705.png",-2299718.62237019,2239321.57149543
108,NA,NA,3058383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,-46.52345,-60.5577025,"JR15005_058_0001__Event_58_P04A20160309183908.png",-2358207.4105893,2236021.65427387
535,NA,NA,3347383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,13,-45.72135,-61.185583,"PS61_235_0003__PS61_235-1_018.jpg",-2278193.32023753,2221539.00039692
515,17453157,NA,3441964,0,0,0.46593636106575,0,0,0,0,0,0,0,0.36725264141422,3.49514563106796,0,0.388349514563107,12,4.956667,-69.963417,"PS18_211_0003__PS18_211-1_004.jpg",192304.72253733,2217366.70457089
733,NA,NA,3521575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.954979536152797,0,0.818553888130969,12,4.08800994520548,-70.0254170273973,"PS18_212_0002__PS18_212-2_023.jpg",158180.978474539,2213232.8803012
107,NA,NA,3521576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,12,4.09175316438356,-70.0261329178082,"PS18_212_0004__PS18_212-2_008.jpg",158319.959512648,2213144.08536401
530,11635438,NA,3522035,0,0,0,0,0,0,0,0,0.0846424199247578,0,0.0363152495777734,1.13207547169811,0,2.07547169811321,12,9.948783,-69.770783,"PS18_206_0004__PS18_206-2_004.jpg",388183.229613239,2213062.81331412
205,5817719,NA,3531708,0,0,1.20922044345912,0,0,0,0,0,0,0,0,20,0,0.48780487804878,12,6.30372519230769,-69.9573411025641,"PS18_180_0002__PS18_180-2_024.jpg",244451.688429445,2212896.59157465
319,5817719,NA,3551617,0,0,0,0,0,0,0,0,0,0,0.0450392873174906,0,0,0.940438871473354,12,6.16352411111111,-69.974798,"PS18_182_0001__PS18_182-1_026.jpg",238830.157728388,2211581.37824084
215,5817719,NA,3561577,0,0,0,0,0,0.725752939868941,0,0,0,0,0,0,0,0,12,6.16710015555556,-69.9759438,"PS18_182_0004__PS18_182-1_009.jpg",238954.667126467,2211441.31497659
527,11375592,NA,3561933,0,0,2.79549281955058,0,0,0,0,0,0,0,0.269472163514019,4.93358633776091,0,1.13851992409867,12,10.680657125,-69.7418621666667,"PS18_174_0001__PS18_174-1_040.jpg",417008.256900637,2211045.05117004
527,23270876,NA,3571525,0,0,0.395377335094614,0,0,1.31976935799057,0,0,0.058842102292495,0,0,7.21062618595825,0.379506641366224,0.189753320683112,12,6.016967,-69.98645,"PS18_171_0004__PS18_171-1_003.jpg",233038.181757169,2210911.96332979
212,NA,NA,3571893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943396226415094,0.471698113207547,0,12,10.685315375,-69.7428871666667,"PS18_174_0002__PS18_174-1_022.jpg",417167.146050857,2210900.52611846
216,5817719,NA,3571894,0,0,2.69371771196592,0,0,0,0,0,0,0,0,2.77777777777778,0,1.38888888888889,12,10.6886796666667,-69.7436274444444,"PS18_174_0008__PS18_174-1_009.jpg",417281.886402991,2210796.13981845
523,NA,NA,3611083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69216061185468,0,0.956022944550669,12,2.38254848051948,-70.1004058441558,"PS18_169_0004__PS18_169-2_014.jpg",91899.1933306621,2208727.61383677
614,34906314,NA,3750959,0,0,1.03328649418112,0,0,0.878569429346314,0,0,0.103465958984283,0,0,6.84039087947883,0.325732899022801,6.51465798045603,12,8.00874094666667,-69.9849820533333,"PS18_179_0004__PS18_179-1_014.jpg",309762.339013589,2201636.41582942
107,5817719,NA,3750960,0,0,0,0,0,0.395218403760557,0,0,0,0,0,2.80373831775701,0,0.934579439252336,12,8.02140964,-69.98418536,"PS18_179_0007__PS18_179-1_070.jpg",310261.350176949,2201654.5425056
427,NA,NA,3770660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,12,5.20599407692308,-70.105517,"PS18_189_0004__PS18_189-2_015.jpg",200535.236730231,2200960.21705343
426,5817719,NA,4078772,0,0,0,0,0,0.150373504208275,0,0,0.13521713632331,0,0,4.46009389671362,0.469483568075117,0.704225352112676,12,-3.23055885714286,-70.3012885714286,"PS18_165_0001__PS18_165-1_039.jpg",-123334.197287949,2185082.89028188
322,17453157,NA,4078773,0,0,0.248133872490239,2.56762944192571,0,0,0,0,0.260413033234493,0,0,0.31055900621118,0,0.31055900621118,12,-3.22402542857143,-70.3016042857143,"PS18_165_0004__PS18_165-1_013.jpg",-123083.08008055,2185062.29087274
324,5018400,NA,4194245,0,0,0,0,0,0,0,0,0,0,0.0763366449063522,0,1.54320987654321,0,3,-44.5728684210526,-62.3216963157895,"JR15005_042_0002__Event_42_P09A20160306182107.png",-2147036.14488197,2179288.85664947
429,NA,NA,4243988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16550116550117,0,3.03030303030303,3,-44.98478,-62.154867,"JR15005_035_0004__Event_35_P03A20160306043654.png",-2175408.01256847,2176564.06659489
