filename,urchin_regular_pencil-cidaroida,polychaete-serpulidae,basket_snake_stars-euryalida,barnacles-bathylasmatidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-gorgonacea,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,octocorals_whip-pennatulacea,octocorals_whip_simple_umbellula-pennatulacea,anemones_colonial-zoantharia,octocorals_bottle_brush_complex-antipatharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,crinoid_stalked-crinoid_stalked,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,octocorals_seafan_fern_simple-antipatharia,octocorals_branching_bushy-antipatharia,octocorals_seafan_fern_complex-antipatharia,octocorals_bottle_brush_simple-antipatharia
PS96_057_0001__PS96_057-3_2016-01-21_0978.jpg,74794.763007308,0.0,0.0,0.0,0.0,0.0,0.0,94240.8613211645,28779.9258,0.0,71561.462826503,0.0,0.0,0.0,0.0,4071.5040790524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184483.699149261,38470.7287819813,533679.0271014608,6298.8932704475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0007__PS96_057-3_2016-01-21_1042.jpg,85698.424346926,0.0,0.0,4203.7538200349,0.0,0.0,0.0,215431.064024872,23713.163579347998,0.0,0.0,0.0,0.0,0.0,0.0,2374.1018824771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152008.1420658795,12679.4679498884,644044.8823827216,15758.2287504064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0001__PS96_090-4_2016-01-29_1786.jpg,8955.0850404757,0.0,0.0,0.0,2133.5297126395003,0.0,0.0,37174.65719292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38013.271108437,0.0,0.0,0.0,29504.418516795,0.0,0.0,13684.777599037,25575.8741822407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0003__PS96_090-4_2016-01-29_1789.jpg,12932.383751421,0.0,167667.55516096,0.0,0.0,0.0,0.0,147014.559722985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.3353495391,0.0,14526.724430199,0.0,0.0,0.0,0.0,0.0,33738.505081507996,0.0,20634.3327213142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0012__PS96_090-4_2016-01-29_1685.jpg,69868.25689466299,12627.820166663001,0.0,0.0,1186.0294523872,0.0,0.0,6361.725123519301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144729.2740140536,25609.356020105697,42801.058312507004,21994.2268835907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0013__PS96_090-4_2016-01-29_1659.jpg,111912.28782455,0.0,0.0,0.0,0.0,0.0,46813.138852357995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5884.70066845,0.0,0.0,0.0,0.0,0.0,144306.5308171982,16909.3463119532,7150.264879570301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0002__PS96_106-2_2016-01-31_0122.jpg,15698.777565188999,0.0,0.0,0.0,0.0,0.0,0.0,12076.282160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481.2400611164,0.0,7638.707453139201,0.0,0.0,0.0,0.0,0.0,2739.5344532168,3631.6811075498,4469.8530009793,15881.410598354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0006__PS96_106-2_2016-01-31_0015.jpg,13469.988165948,0.0,0.0,0.0,0.0,0.0,0.0,41594.118025666,0.0,0.0,0.0,104927.40432332,0.0,0.0,0.0,5552.3302187967,0.0,44488.093567485,0.0,0.0,0.0,0.0,0.0,35631.894602527005,3557.2960474944,8027.7195616996,3848.4510006475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0002__PS96_008-2_2015-12-30_4015.jpg,2391.405774813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18631.0974223897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.1586025999995,31359.403315034,3603.9625214078997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0006__PS96_010-3_2016-01-01_4274.jpg,0.0,90248.09265086199,0.0,0.0,0.0,0.0,0.0,146952.0757544651,117023.534664871,0.0,79938.89180288,0.0,0.0,0.0,46231.22823348201,0.0,0.0,27759.112687119,36972.237909467,0.0,0.0,0.0,0.0,8877.383524060398,73160.867217117,102504.34028780271,1376.2214716355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0008__PS96_106-2_2016-01-31_0056.jpg,15761.021312116001,0.0,0.0,0.0,2315.7386307957,0.0,0.0,11171.458181244,0.0,0.0,26536.391100491,36122.889671611,0.0,0.0,0.0,4601.1542951398,0.0,4871.9328783416995,0.0,0.0,0.0,0.0,0.0,7437.1369103203015,1520.5308443375,3848.4510006475,20045.91964296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0008__PS96_001-4_2015-12-23_3535.jpg,0.0,145530.99011588,0.0,0.0,0.0,0.0,76287.259535442,137624.277306015,0.0,0.0,86756.248728462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3949.6382084136,13395.7510749068,44918.1088008823,14735.867478811699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0012__PS96_008-2_2015-12-30_4047.jpg,0.0,427252.48037529,0.0,0.0,3293.8480565903997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63347.074266985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9940.195505499,4989.417448011601,11309.733552923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0011__PS96_010-3_2016-01-01_4297.jpg,0.0,60149.740020783,177967.32856513,0.0,0.0,0.0,0.0,81936.5773001202,0.0,0.0,0.0,0.0,15393.80400259,0.0,34801.425341165,0.0,0.0,2231.2297884142004,0.0,0.0,0.0,0.0,0.0,5809.556851591839,61365.518250917296,30487.2591811262,12199.698865259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_048_0026__PS96_048-2_2016-01-18_0687.jpg,349813.25096421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3631.6811075498,9020.0866865539,1520.5308443375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_072_0007__PS96_072-4_2016-01-23_1414.jpg,0.0,262643.23927322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31409.64366475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0009__PS96_026-3_2016-01-08_4639.jpg,0.0,9052.6324348475,0.0,0.0,2211.181400736,8938.3199312799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26139.3126580595,5819.5994102255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0003__PS96_010-3_2016-01-01_4159.jpg,0.0,1427234.8428967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22151.246964189,0.0,0.0,0.0,0.0,43822.7423750732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20447.6364537977,110241.92782921791,5281.0172506844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_072_0002__PS96_072-4_2016-01-23_1322.jpg,0.0,107010.16549744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728.4132152231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_026_0003__PS96_026-3_2016-01-08_4593.jpg,0.0,0.0,10707.252736825,0.0,10887.745088755999,0.0,0.0,17541.996800109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3293.0056103037,9853.8530822265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0006__PS96_090-4_2016-01-29_1565.jpg,0.0,0.0,134913.41225639998,0.0,0.0,0.0,0.0,10836.021907307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.4082681249,0.0,0.0,0.0,0.0,0.0,13273.228961417,7238.2294738709,22762.140651253998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0009__PS96_010-3_2016-01-01_4338.jpg,0.0,0.0,329140.71144968,0.0,0.0,0.0,0.0,117991.542299488,0.0,0.0,14347.83083477,0.0,0.0,0.0,0.0,2298.7111986133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18764.732919891903,17628.952299521,2123.7166338267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0009__PS96_007-1_2015-12-29_3628.jpg,0.0,6339.1257626065,0.0,0.0,0.0,0.0,0.0,64507.71556666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38158.551233268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4753.2296848814,39520.758688395,12167.388347353299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_027_0003__PS96_027-2_2016-01-14_4695.jpg,0.0,0.0,0.0,0.0,6913.225744831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10364.796493164802,29102.957570616825,0.0,2263.1581087119002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0026__PS96_007-1_2015-12-29_3843.jpg,0.0,0.0,0.0,0.0,2903.3342667415004,0.0,0.0,19059.577987776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25820.1295553058,13643.9368945404,4008.41587202,22362.1785214995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0016__PS96_090-4_2016-01-29_1628.jpg,0.0,0.0,0.0,0.0,1158.1167158193,0.0,0.0,152173.117144871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43743.536108584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16190.813662665301,11456.1584741181,2463.0086404144,3595.4550885020008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0031__PS96_001-4_2015-12-23_3466.jpg,0.0,0.0,0.0,0.0,2808.6152482358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12468.981242098,0.0,0.0,0.0,136521.13472578302,0.0,0.0,0.0,0.0,3216.9908772759004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0005__PS96_007-1_2015-12-29_3638.jpg,0.0,0.0,0.0,0.0,3069.925385339,0.0,0.0,18660.384605744,0.0,0.0,62472.500739477895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9512.742555069899,60294.4760217668,7957.654191543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0003__PS96_106-2_2016-01-31_0100.jpg,0.0,51673.112315786,0.0,0.0,0.0,0.0,0.0,26593.581812637596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28952.917895484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222456.02183967642,11689.8662640076,93295.0796974402,3631.6811075498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0002__PS96_001-4_2015-12-23_3416.jpg,0.0,0.0,0.0,0.0,0.0,18723.389560571002,444243.614910387,1271000.6178268762,0.0,0.0,0.0,0.0,41013.4748138549,0.0,36217.275681295,0.0,0.0,5114.8150612575,47630.2746413786,0.0,0.0,0.0,0.0,0.0,4536.4597917837,16304.116916441999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0029__PS96_001-4_2015-12-23_3423.jpg,0.0,0.0,0.0,0.0,0.0,12876.007242934,0.0,44247.212374408,0.0,0.0,0.0,0.0,0.0,221181.48120773002,0.0,0.0,0.0,0.0,4653.676101722101,235319.814513138,0.0,0.0,0.0,0.0,4071.5040790524,0.0,5541.7694409323985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0007__PS96_007-1_2015-12-29_3732.jpg,0.0,0.0,0.0,0.0,0.0,19950.671894411,0.0,8494.8665353068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4778.3624261101,17319.6002992405,28511.916826736302,16517.9613584607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0011__PS96_061-1_2016-01-21_1156.jpg,0.0,0.0,0.0,5831.408033600501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6824.5967007908985,0.0,0.0,0.0,23154.090801347003,12511.024700008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0004__PS96_001-4_2015-12-23_3439.jpg,0.0,0.0,0.0,0.0,0.0,0.0,63928.339593733,353503.0122659444,0.0,0.0,156521.707501204,0.0,0.0,0.0,0.0,2827.4333882308,0.0,4498.3384498878995,7685.2517190984,0.0,0.0,0.0,0.0,0.0,17671.458676443,15262.139854478,7238.2294738709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0011__PS96_001-4_2015-12-23_3502.jpg,0.0,0.0,0.0,0.0,0.0,0.0,120527.38091159,133419.9333933042,0.0,0.0,0.0,0.0,18913.041540042,0.0,0.0,3208.9534266309997,0.0,0.0,0.0,9613.0631142433,0.0,0.0,0.0,0.0,8640.497223259401,8232.2799691084,3216.9908772759004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0013__PS96_001-4_2015-12-23_3517.jpg,0.0,0.0,0.0,0.0,0.0,0.0,36648.145710562996,232902.735586434,0.0,0.0,19611.643781606002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63136.48176190199,0.0,0.0,0.0,3659.5058795234004,0.0,7238.2294738709,8303.1919984852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0014__PS96_001-4_2015-12-23_3544.jpg,0.0,0.0,0.0,0.0,0.0,0.0,38336.80910559,62679.2228020502,0.0,0.0,90363.7554109518,0.0,0.0,0.0,0.0,25380.7853625234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10948.4503977605,5788.19596868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0016__PS96_001-4_2015-12-23_3476.jpg,0.0,0.0,0.0,0.0,0.0,0.0,37957.999183926004,129684.13911389401,20116.247336103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90612.58520997301,52872.4413865123,7853.981633974499,49391.946912142404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0004__PS96_007-1_2015-12-29_3617.jpg,0.0,0.0,0.0,0.0,0.0,0.0,45806.188035207,58628.74202161801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127416.50153015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1769.0713497816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0004__PS96_008-2_2015-12-30_3912.jpg,0.0,0.0,0.0,0.0,0.0,0.0,16604.228236092,129652.51973409098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18242.062694362,3221.0133725096002,0.0,3880.5040197389003,5109.8284112384,0.0,0.0,0.0,8066.465138055601,10034.3958470576,3734.9465147103997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0006__PS96_001-4_2015-12-23_3583.jpg,0.0,0.0,0.0,0.0,0.0,0.0,342513.50910618,212996.56228978123,20652.724547186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59767.810318701,0.0,0.0,4536.4597917837,7492.6984788117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0005__PS96_008-2_2015-12-30_3985.jpg,0.0,0.0,0.0,0.0,0.0,0.0,9160.8841778678,44716.701295861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17725.5534461856,11089.979146804602,10520.995562376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0002__PS96_057-3_2016-01-21_0956.jpg,0.0,0.0,0.0,0.0,0.0,0.0,26015.528764377003,233432.8584349987,33212.767993941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.6485270051,0.0,0.0,0.0,0.0,0.0,52578.80755260876,434616.58248229325,14515.912639081998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0008__PS96_008-2_2015-12-30_4027.jpg,0.0,0.0,0.0,0.0,0.0,0.0,18626.502843134,92653.116981238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10250.056757949,0.0,0.0,0.0,31221.038600057997,0.0,0.0,0.0,4917.915041005499,0.0,4536.4597917837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0025__PS96_090-4_2016-01-29_1639.jpg,0.0,0.0,0.0,0.0,0.0,0.0,28352.873698648,78426.719004216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57349.635975364,0.0,24385.1175753872,0.0,0.0,0.0,0.0,0.0,104154.3126949274,26711.9472848873,34502.564565836,12020.4403509816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_061_0017__PS96_061-1_2016-01-21_1188.jpg,0.0,0.0,0.0,0.0,0.0,0.0,114174.33451324,141711.6604224948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19507.531086906998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31512.3065185062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0023__PS96_090-4_2016-01-29_1663.jpg,0.0,0.0,0.0,0.0,0.0,0.0,23653.154447276,0.0,0.0,0.0,0.0,21701.611643092,0.0,0.0,0.0,0.0,16787.445919649,0.0,0.0,0.0,0.0,0.0,0.0,6059.0493217871,21361.0157746532,21202.2198899068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0024__PS96_090-4_2016-01-29_1703.jpg,0.0,0.0,0.0,0.0,0.0,0.0,361132.01180269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266998.02327511803,163957.84348924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.1943997593,0.0,12545.591178070401,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0010__PS96_008-2_2015-12-30_4064.jpg,0.0,0.0,0.0,0.0,0.0,0.0,3392.2276588561,54566.6631085782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10060.72459261,0.0,0.0,10899.0900157,0.0,0.0,0.0,0.0,9646.4565923883,4349.8039616169,0.0,3392.2276588561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0005__PS96_001-4_2015-12-23_3481.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206495.2700276745,0.0,307329.998677819,0.0,0.0,0.0,113808.96006889,0.0,0.0,0.0,0.0,0.0,855901.7693719739,0.0,0.0,0.0,20764.953546506,2173.0082225615,0.0,10420.2814426092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0007__PS96_001-4_2015-12-23_3426.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37886.079904665,0.0,0.0,6666.074305705401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19778.0226029555,49309.8083790026,0.0,0.0,0.0,2480.7181034535997,3265.8140545461,12076.282160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_001_0017__PS96_001-4_2015-12-23_3411.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23550.29885145768,0.0,0.0,54500.982215872005,0.0,0.0,9039.2747860002,0.0,0.0,0.0,0.0,17544.453196077,56766.175442259,0.0,0.0,0.0,15176.158805533001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0001__PS96_007-1_2015-12-29_3660.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43156.7883884958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3310.1441260031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10681.4150222053,75791.9064005135,5554.3358115468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_007_0002__PS96_007-1_2015-12-29_3725.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30870.179427372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.1943997593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9229.999216246899,7002.5387106984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
