filename,urchin_regular_pencil-cidaroida,polychaete-serpulidae,basket_snake_stars-euryalida,barnacles-bathylasmatidae,brachiopods-brachiopoda,antarctic_scallop-antarctic_scallop,octocorals_bottle_brush_complex-gorgonacea,octocorals_bottle_brush_simple-gorgonacea,octocorals_branching_arborescent-gorgonacea,octocorals_branching_bushy-gorgonacea,hydroids_colonial_feather-hydroidolina,octocorals_fleshy_arborescent-alcyonacea,octocorals_fleshy_mushroom-alcyonacea,octocorals_quill-pennatulacea,octocorals_seafan_flexible-gorgonacea,anemones_solitary-actiniaria,hydroids_solitary-hydroidolina,stony_corals_solitary-scleractinia,octocorals_whip-gorgonacea,octocorals_whip-pennatulacea,octocorals_whip_simple_umbellula-pennatulacea,anemones_colonial-zoantharia,octocorals_bottle_brush_complex-antipatharia,ascidians_stalked_colonial-ascidiacea,ascidians_stalked_solitary-ascidiacea,ascidians_unstalked_colonial-ascidiacea,ascidians_unstalked_solitary-ascidiacea,octocorals_bottle_brush_simple-antipatharia,crinoid_stalked-crinoid_stalked,octocorals_whip-alcyonacea,anemones_colonial-corallimorpharia,octocorals_seafan_fern_simple-antipatharia,octocorals_branching_bushy-antipatharia,octocorals_seafan_fern_complex-antipatharia,octocorals_branching_arborescent-alcyonacea,worms_acorn-pterobranchia,octocorals_seafan_fern_simple-gorgonacea,octocorals_seafan_fern_complex-gorgonacea,octocorals_bottle_brush_simple-alcyonacea,octocorals_bottle_brush_complex-alcyonacea
PS96_057_0001__PS96_057-3_2016-01-21_0978.jpg,74794.763007308,0.0,0.0,0.0,0.0,0.0,0.0,94240.8613211645,28779.9258,0.0,71561.462826503,0.0,0.0,0.0,0.0,4071.5040790524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184483.69914926097,6283.1853071796,533679.0271014608,38486.4367452492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_057_0007__PS96_057-3_2016-01-21_1042.jpg,85698.42434692601,0.0,0.0,4203.7538200349,0.0,0.0,0.0,215431.064024872,23713.163579348,0.0,0.0,0.0,0.0,0.0,41793.598557346,2374.1018824771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152008.1420658795,2827.4333882308,644044.8823827216,15758.2287504064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0001__PS96_090-4_2016-01-29_1786.jpg,8955.0850404757,0.0,0.0,0.0,2133.5297126395,0.0,0.0,37174.65719292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38013.271108437,0.0,0.0,0.0,29504.418516795,0.0,0.0,13684.777599037,25575.8741822407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0003__PS96_090-4_2016-01-29_1789.jpg,12932.383751421,0.0,167667.55516096,0.0,0.0,0.0,0.0,147014.559722985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.3353495391,0.0,14526.724430199,0.0,0.0,0.0,0.0,0.0,33738.505081507996,0.0,20634.3327213142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0012__PS96_090-4_2016-01-29_1685.jpg,69868.256894663,12627.820166663,0.0,0.0,1186.0294523872,0.0,0.0,6361.7251235193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152398.99526986902,14514.2922055912,46226.400871206104,21994.2268835907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_090_0013__PS96_090-4_2016-01-29_1659.jpg,111912.28782455,0.0,0.0,0.0,0.0,0.0,46813.138852358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5884.70066845,0.0,0.0,0.0,0.0,0.0,144306.5308171982,16909.3463119532,7150.2648795703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0002__PS96_106-2_2016-01-31_0122.jpg,15698.777565189,0.0,0.0,0.0,0.0,0.0,0.0,12076.282160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481.2400611164,0.0,7638.7074531392,0.0,0.0,0.0,0.0,0.0,2739.5344532168,3631.6811075498,2107.4117679546,15881.410598354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_106_0006__PS96_106-2_2016-01-31_0015.jpg,13469.988165948,0.0,0.0,0.0,0.0,0.0,0.0,41594.118025666,0.0,0.0,0.0,104927.40432332,0.0,0.0,0.0,5552.3302187967,0.0,44488.093567485,0.0,0.0,0.0,0.0,0.0,35631.894602527,14983.146320646,1376.2214716355,3848.4510006475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_008_0002__PS96_008-2_2015-12-30_4015.jpg,2391.405774813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18631.0974223897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7598.1586025999995,31359.403315034,3603.9625214079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS96_010_0006__PS96_010-3_2016-01-01_4274.jpg,0.0,90248.092650862,0.0,0.0,0.0,0.0,0.0,146952.0757544651,117023.534664871,0.0,79938.89180288,0.0,0.0,0.0,46231.228233482,0.0,0.0,27759.112687119,36972.237909467,0.0,0.0,0.0,0.0,8877.3835240604,73160.867217117,102504.34028780271,1376.2214716355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
