,filename,image_size_sqpx
0,AA2011_CTD100_CAM53_0001__IMG_0602.JPG,6629708
1,AA2011_CTD101_CAM54_0001__IMG_0937.JPG,6629708
2,AA2011_CTD102_CAM55_0001__IMG_0601.JPG,6629708
3,AA2011_CTD103_CAM56_0001__IMG_0592.JPG,6629708
4,AA2011_CTD104_CAM57_0001__IMG_0550.JPG,6629708
5,AA2011_CTD105_CAM58_0001__IMG_0541.JPG,6629708
6,AA2011_CTD106_CAM59_0001__IMG_0531.JPG,6629708
7,AA2011_CTD108_CAM61_0001__IMG_0566.JPG,6629708
8,AA2011_CTD109_CAM62_0001__IMG_0559.JPG,6629708
9,AA2011_CTD110_CAM63_0001__IMG_0557.JPG,6629708
10,AA2011_CTD111_CAM64_0001__IMG_0790.JPG,6629708
11,AA2011_CTD112_CAM65_0001__IMG_0550.JPG,6629708
12,AA2011_CTD113_CAM66_0001__IMG_0824.JPG,6629708
13,AA2011_CTD114_CAM67_0001__IMG_0540.JPG,6629708
14,AA2011_CTD116_CAM69_0001__IMG_0508.JPG,6629708
15,AA2011_CTD117_CAM70_0001__IMG_0547.JPG,6629708
16,AA2011_CTD118_CAM71_0001__IMG_0534.JPG,6629708
17,AA2011_CTD119_CAM72_0001__IMG_0549.JPG,6629708
18,AA2011_CTD120_CAM73_0001__IMG_0578.JPG,6629708
19,AA2011_CTD121_CAM74_0001__IMG_0562.JPG,6629708
20,AA2011_CTD122_CAM75_0001__IMG_0562.JPG,6629708
21,AA2011_CTD123_CAM76_0001__IMG_0591.JPG,6629708
22,AA2011_CTD124_CAM77_0001__IMG_0559.JPG,6629708
23,AA2011_CTD125_CAM78_0001__IMG_0540.JPG,6629708
24,AA2011_CTD126_CAM79_0001__IMG_0544.JPG,6629708
25,AA2011_CTD127_CAM80_0001__IMG_0554.JPG,6629708
26,AA2011_CTD128_CAM81_0001__IMG_0532.JPG,6629708
27,AA2011_CTD129_CAM82_0001__IMG_0557.JPG,6629708
28,AA2011_CTD130_CAM83_0001__IMG_0534.JPG,6629708
29,AA2011_CTD131_CAM84_0001__IMG_0531.JPG,6629708
30,AA2011_CTD132_CAM85_0001__IMG_0572.JPG,6629708
31,AA2011_CTD133_CAM86_0001__IMG_0637.JPG,6629708
32,AA2011_CTD134_CAM87_0001__IMG_0548.JPG,6629708
33,AA2011_CTD135_CAM88_0001__IMG_0502.JPG,6629708
34,AA2011_CTD136_CAM89_0001__IMG_0545.JPG,6629708
35,AA2011_CTD137_CAM90_0001__IMG_0575.JPG,6629708
36,AA2011_CTD139_CAM92_0001__IMG_0598.JPG,6629708
37,AA2011_CTD140_CAM93_0001__IMG_0589.JPG,6629708
38,AA2011_CTD54_CAM02_0001__IMG_0233.JPG,6629708
39,AA2011_CTD56_CAM05_0001__IMG_0358.JPG,6629708
40,AA2011_CTD59_CAM09_0001__IMG_0520.JPG,6629708
41,AA2011_CTD66_CAM19_0001__IMG_0843.JPG,6629708
