annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,image_id,filename,image_longitude,image_latitude,shape_id,shape_name,points,attributes,annotation_id,created_at
12737467,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114878,PS118_06_0008__TIMER_2019_03_06_at_07_11_46_IMG_0467.jpg,,,4,Circle,"[1392.19,185.81,195.78]","{""size"":3308763,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":1.3581200183856827,""count"":2,""method"":""manual"",""points"":[[649.2,1805.18],[1491.6,3182.18]],""distance"":""50""}}",11795772,"2021-09-03 02:26:23"
12737468,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[2135.25,2732.53,117.2]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795773,"2021-09-03 02:26:26"
12737469,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[3963.94,2681.91,25.47]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795774,"2021-09-03 02:26:29"
12737470,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[1301.06,2106.47,39.17]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795775,"2021-09-03 02:26:31"
12737471,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[1415.81,1514.16,87.2]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795776,"2021-09-03 02:26:34"
12737472,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[3372.75,1904.53,86.45]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795777,"2021-09-03 02:26:36"
12737473,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[2222.44,1041.09,61.3]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795778,"2021-09-03 02:26:39"
12737474,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114792,PS118_11_0001__TIMER_2019_03_13_at_21_15_35_IMG_0056.jpg,,,4,Circle,"[2805.75,1274.53,58.52]","{""size"":3581040,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":5.098063465858274,""count"":2,""method"":""manual"",""points"":[[1036.2,2028.15],[1494.3,2724.08]],""distance"":""50""}}",11795779,"2021-09-03 02:26:42"
12737475,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114794,PS118_11_0003__TIMER_2019_03_13_at_20_53_30_IMG_0012.jpg,,,4,Circle,"[816.19,1235.16,37.82]","{""size"":3028685,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":9.268817332135255,""count"":2,""method"":""manual"",""points"":[[1165.8,2101.95],[1496.1,2624.17]],""distance"":""50""}}",11795780,"2021-09-03 02:26:44"
12737476,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114794,PS118_11_0003__TIMER_2019_03_13_at_20_53_30_IMG_0012.jpg,,,4,Circle,"[1108.69,1456.78,40.85]","{""size"":3028685,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":9.268817332135255,""count"":2,""method"":""manual"",""points"":[[1165.8,2101.95],[1496.1,2624.17]],""distance"":""50""}}",11795781,"2021-09-03 02:26:47"
12737477,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114794,PS118_11_0003__TIMER_2019_03_13_at_20_53_30_IMG_0012.jpg,,,4,Circle,"[1097.44,1093.97,28.68]","{""size"":3028685,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":9.268817332135255,""count"":2,""method"":""manual"",""points"":[[1165.8,2101.95],[1496.1,2624.17]],""distance"":""50""}}",11795782,"2021-09-03 02:26:50"
12737478,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114794,PS118_11_0003__TIMER_2019_03_13_at_20_53_30_IMG_0012.jpg,,,4,Circle,"[667.13,854.91,32.07]","{""size"":3028685,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":9.268817332135255,""count"":2,""method"":""manual"",""points"":[[1165.8,2101.95],[1496.1,2624.17]],""distance"":""50""}}",11795783,"2021-09-03 02:26:52"
12737479,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114794,PS118_11_0003__TIMER_2019_03_13_at_20_53_30_IMG_0012.jpg,,,4,Circle,"[1886.06,808.78,46.78]","{""size"":3028685,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":9.268817332135255,""count"":2,""method"":""manual"",""points"":[[1165.8,2101.95],[1496.1,2624.17]],""distance"":""50""}}",11795784,"2021-09-03 02:26:55"
12737480,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114806,PS118_39_0012__TIMER_2019_03_24_at_05_48_37_IMG_2396.jpg,,,4,Circle,"[3061.13,1219.97,26.06]","{""size"":4240103,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":15.090881249345172,""count"":2,""method"":""manual"",""points"":[[1223.4,2143.58],[1494.3,2544.98]],""distance"":""50""}}",11795785,"2021-09-03 02:26:58"
12737481,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114824,PS118_39_0067__TIMER_2019_03_24_at_06_41_25_IMG_2604.jpg,,,4,Circle,"[3616.88,1798.22,40.6]","{""size"":3875227,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":10.524574631240018,""count"":2,""method"":""manual"",""points"":[[1173.9,2117.48],[1491.6,2602.58]],""distance"":""50""}}",11795786,"2021-09-03 02:27:00"
12737482,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114829,PS118_39_0083__TIMER_2019_03_24_at_07_13_41_IMG_2730.jpg,,,4,Circle,"[3777.75,1155.84,82.21]","{""size"":5139392,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":6.145790344482749,""count"":2,""method"":""manual"",""points"":[[1093.8,2072.47],[1491.6,2718.68]],""distance"":""50""}}",11795787,"2021-09-03 02:27:03"
12737483,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114996,PS118_81_0001__TIMER_2019_04_03_at_23_54_40_IMG_0118.jpg,,,4,Circle,"[3060,2749.97,12.14]","{""size"":5126991,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":6.559440743471301,""count"":2,""method"":""manual"",""points"":[[1129.8,2094.07],[1863.3,2055.38]],""distance"":""50""}}",11795788,"2021-09-03 02:48:21"
12737484,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114996,PS118_81_0001__TIMER_2019_04_03_at_23_54_40_IMG_0118.jpg,,,4,Circle,"[469.13,2384.91,31.9]","{""size"":5126991,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":6.559440743471301,""count"":2,""method"":""manual"",""points"":[[1129.8,2094.07],[1863.3,2055.38]],""distance"":""50""}}",11795789,"2021-09-03 02:48:27"
12737485,178966,colonial-zoantharia,"anemones > colonial-zoantharia",581,Charley,Gros,1114996,PS118_81_0001__TIMER_2019_04_03_at_23_54_40_IMG_0118.jpg,,,4,Circle,"[4550.63,2269.59,38.96]","{""size"":5126991,""mimetype"":""image\/jpeg"",""width"":4608,""height"":3072,""laserpoints"":{""error"":false,""area"":6.559440743471301,""count"":2,""method"":""manual"",""points"":[[1129.8,2094.07],[1863.3,2055.38]],""distance"":""50""}}",11795790,"2021-09-03 02:48:34"
