"","a"
"1","filename"
"2","longitude"
"3","latitude"
"4","area"
"5","survey"
"6","area_pix"
"7","antarctic_scallop--antarctic_scallop"
"8","barnacles--bathylasmatidae"
"9","octocorals_bottle_brush_complex--gorgonacea"
"10","octocorals_bottle_brush_simple--antipatharia"
"11","octocorals_bottle_brush_simple--gorgonacea"
"12","brachiopods--brachiopoda"
"13","octocorals_branching_arborescent--gorgonacea"
"14","octocorals_branching_bushy--gorgonacea"
"15","hydroids_colonial_feather--hydroidolina"
"16","octocorals_fleshy_arborescent--alcyonacea"
"17","octocorals_fleshy_mushroom--alcyonacea"
"18","octocorals_quill--pennatulacea"
"19","octocorals_seafan_flexible--gorgonacea"
"20","anemones_solitary--actiniaria"
"21","hydroids_solitary--hydroidolina"
"22","anemones_colonial--zoantharia"
"23","octocorals_branching_bushy--alcyonacea"
"24","stony_corals_solitary--scleractinia"
"25","octocorals_seafan_fern_simple--antipatharia"
"26","stony_corals_colonial--scleractinia"
"27","octocorals_seafan_flexible--alcyonacea"
"28","bryozoans_hard_branching_antler--bryozoans"
"29","hydrocorals_branching--stylasterids"
"30","bryozoans_hard_branching_leaf--bryozoans"
"31","bryozoans_hard_lettuce--bryozoans"
"32","bryozoans_soft_dendroid--bryozoans"
"33","bryozoans_hard_encrusting--bryozoans"
"34","sponges_massive_round--porifera"
"35","sponges_massive_simple--porifera"
"36","bryozoans_soft_foliaceous--bryozoans"
"37","bryozoans_hard_branching_coralhead--bryozoans"
"38","sponges_crust_encrusting--porifera"
"39","sponges_erect_palmate--porifera"
"40","sponges_bead--porifera"
"41","bryozoans_soft_fan--bryozoans"
"42","sponges_hollow_tube_chimney--porifera"
"43","bryozoans_hard_fenestrate--bryozoans"
"44","sponges_erect_simple--porifera"
"45","bryozoans_purple--bryozoans"
"46","sponges_cup_table_disc--porifera"
"47","sponges_massive_barrel--porifera"
"48","sponges_erect_laminar--porifera"
"49","sponges_massive_cryptic--porifera"
"50","sponges_cup_cup_goblet--porifera"
"51","sponges_crust_creeping_ramose--porifera"
"52","sponges_erect_stalked--porifera"
"53","sponges_erect_branching--porifera"
"54","sponges_cup_incomplete_curled--porifera"
"55","n_annotation"
"56","proj_coord_x"
"57","proj_coord_y"
"58","cellID"
