taxa,grouping
bryozoans_hard_branching-bryozoans,
bryozoans_hard_encrusting-bryozoans,
bryozoans_hard_fenestrate-bryozoans,
bryozoans_hard_massive-bryozoans,
bryozoans_soft_dendroid-bryozoans,
bryozoans_soft_foliaceous-bryozoans,
hydrocorals_branching-stylasterids,
sponges_crust_creeping-porifera,
sponges_crust_encrusting-porifera,
sponges_cup_barrel-porifera,
sponges_cup_cup_complete-porifera,sponges_cup_cup-porifera
sponges_cup_cup_disc-porifera,sponges_cup_cup-porifera
sponges_cup_tube_chimney-porifera,
sponges_erect_1d-porifera,
sponges_erect_2d-porifera,
sponges_erect_3d-porifera,
sponges_erect_stalked-porifera,
sponges_massive_cryptic-porifera,
sponges_massive_globular-porifera,
sponges_massive_simple-porifera,
polychaete-serpulidae,
basket_snake_stars-euryalida,
crinoid_stalked-crinoid_stalked,
urchin_regular_pencil-cidaroida,
barnacles-bathylasmatidae,REMOVE
brachiopods-brachiopoda,
antarctic_scallop-antarctic_scallop,
octocorals_bottle_brush_complex-gorgonacea,
octocorals_bottle_brush_simple-gorgonacea,
octocorals_branching_arborescent-gorgonacea,
octocorals_branching_bushy-gorgonacea,
hydroids_colonial_feather-hydroidolina,
octocorals_fleshy_arborescent-alcyonacea,
octocorals_fleshy_mushroom-alcyonacea,
octocorals_quill-pennatulacea,
octocorals_seafan_flexible-gorgonacea,
anemones_solitary-actiniaria,
hydroids_solitary-hydroidolina,
stony_corals_solitary-scleractinia,
octocorals_whip-gorgonacea,
octocorals_whip-pennatulacea,
octocorals_whip_simple_umbellula-pennatulacea,
anemones_colonial-zoantharia,
octocorals_bottle_brush_complex-antipatharia,octocorals-antipatharia
ascidians_stalked_colonial-ascidiacea,
ascidians_stalked_solitary-ascidiacea,
ascidians_unstalked_colonial-ascidiacea,
ascidians_unstalked_solitary-ascidiacea,
octocorals_whip-alcyonacea,
anemones_colonial-corallimorpharia,
octocorals_seafan_fern_simple-antipatharia,octocorals-antipatharia
octocorals_branching_bushy-antipatharia,octocorals-antipatharia
octocorals_seafan_fern_complex-antipatharia,REMOVE
octocorals_bottle_brush_simple-antipatharia,octocorals-antipatharia
