morpho_taxon,Habitat_forming,Rare_or_unique,Longevity,Slow_growth,Fragility,Larval_dispersion,Sessility
anemones_colonial-zoantharia,1,1,NA,NA,2,1,3
anemones_solitary-actiniaria,1,1,3,1,1,2,2
ascidians_stalked_colonial-ascidiacea,2,1,NA,1,1,1,3
ascidians_stalked_solitary-ascidiacea,2,1,NA,1,1,1,3
ascidians_unstalked_colonial-ascidiacea,2,1,NA,1,1,1,3
ascidians_unstalked_solitary-ascidiacea,2,1,NA,1,1,1,3
brachiopods-brachiopoda,1,3,3,1,2,2,3
barnacles-bathylasmatidae,1,3,3,NA,2,1,3
hydroids_colonial_feather-hydroidolina,1,1,NA,NA,1,NA,3
hydroids_solitary-hydroidolina,1,1,NA,NA,1,NA,3
antarctic_scallop-antarctic_scallop,3,2,3,3,3,2,3
octocorals_bottle_brush_complex-alcyonacea,2,1,2,1,2,2,3
octocorals_bottle_brush_complex-gorgonacea,2,1,3,3,3,2,3
octocorals_bottle_brush_complex-antipatharia,2,1,3,3,3,1,3
octocorals_bottle_brush_simple-alcyonacea,2,1,2,1,2,2,3
octocorals_bottle_brush_simple-gorgonacea,2,1,3,3,3,2,3
octocorals_bottle_brush_simple-antipatharia,2,1,3,3,3,1,3
octocorals_coral_encrusting-alcyonacea,2,1,2,1,2,2,3
octocorals_fleshy_arborescent-alcyonacea,2,1,2,1,2,2,3
octocorals_fleshy_mushroom-alcyonacea,2,1,2,1,2,2,3
octocorals_whip_simple_umbellula-pennatulacea,1,3,3,2,3,1,2
octocorals_branching_arborescent-gorgonacea,2,1,3,3,3,2,3
octocorals_branching_arborescent-alcyonacea,2,1,2,1,2,2,3
octocorals_branching_bushy-alcyonacea,2,1,2,1,2,2,3
octocorals_branching_bushy-gorgonacea,2,1,3,3,3,2,3
octocorals_branching_bushy-antipatharia,2,1,3,3,3,1,3
octocorals_seafan_flexible-gorgonacea,2,1,3,3,3,2,3
octocorals_seafan_flexible-alcyonacea,2,1,2,1,2,2,3
octocorals_seafan_fern_complex-gorgonacea,2,1,3,3,3,2,3
octocorals_seafan_fern_complex-antipatharia,2,1,3,3,3,1,3
octocorals_seafan_fern_simple-gorgonacea,2,1,3,3,3,2,3
octocorals_seafan_fern_simple-antipatharia,2,1,3,3,3,1,3
octocorals_quill-pennatulacea,1,3,3,2,3,1,2
octocorals_whip-pennatulacea,1,3,3,2,3,1,2
octocorals_whip-gorgonacea,2,1,3,3,3,2,3
octocorals_whip-alcyonacea,2,1,2,1,2,2,3
stony_corals_solitary-scleractinia,3,2,3,3,3,2,3
stony_corals_colonial-scleractinia,3,2,3,3,3,2,3
worms_acorn-pterobranchia,2,2,NA,NA,2,3,3
