Taxon,Morphology,Habitat_forming,Rare_or_unique,Fragility,Longevity,Slow_growth,Larval_dispersion,Sessility,Indicator score
Zoantharia,Colonial,1,1,2,NA,NA,1,3,1.58113883
Actiniaria,Solitary,1,1,1,3,1,2,2,1.322875656
Ascidiacea,Stalked Colonial,2,1,1,NA,1,1,3,1.481365736
,Stalked Solitary,2,1,1,NA,1,1,3,1.481365736
,Unstalked Colonial,2,1,1,NA,1,1,3,1.481365736
,Unstalked Solitary,2,1,1,NA,1,1,3,1.481365736
Brachiopoda,Brachiopods,1,3,2,3,1,2,3,2.18303115
Bathylasmatidae,Barnacles,1,3,2,3,NA,1,3,2.204792759
Hydroidolina,Hydroids Colonial Feather,1,1,1,NA,NA,NA,3,1.732050808
,Hydroids Solitary,1,1,1,NA,NA,NA,3,1.732050808
Antarctic Scallop,Antarctic Scallop,3,2,3,3,3,2,3,2.718570396
Alcyonacea,Bottle Brush Complex,2,1,2,2,1,2,3,1.802775638
,Bottle Brush Simple,2,1,2,2,1,2,3,1.802775638
,Branching Arborescent,2,1,2,2,1,2,3,1.802775638
,Coral Encrusting,2,1,2,2,1,2,3,1.802775638
,Fleshy Arborescent,2,1,2,2,1,2,3,1.802775638
,Fleshy Mushroom,2,1,2,2,1,2,3,1.802775638
,Branching Bushy,2,1,2,2,1,2,3,1.802775638
,Seafan Flexible,2,1,2,2,1,2,3,1.802775638
,Whip,2,1,2,2,1,2,3,1.802775638
Gorgonacea,Bottle Brush Complex,2,1,3,3,3,2,3,2.321771953
,Bottle Brush Simple,2,1,3,3,3,2,3,2.321771953
,Branching Arborescent,2,1,3,3,3,2,3,2.321771953
,Branching Bushy,2,1,3,3,3,2,3,2.321771953
,Seafan Flexible,2,1,3,3,3,2,3,2.321771953
,Seafan Fern Complex,2,1,3,3,3,2,3,2.321771953
,Seafan Fern Simple,2,1,3,3,3,2,3,2.321771953
,Whip,2,1,3,3,3,2,3,2.321771953
Antipatharia,Bottle Brush Complex,2,1,3,3,3,1,3,2.25
,Bottle Brush Simple,2,1,3,3,3,1,3,2.25
,Branching Bushy,2,1,3,3,3,1,3,2.25
,Seafan Fern Complex,2,1,3,3,3,1,3,2.25
,Seafan Fern Simple,2,1,3,3,3,1,3,2.25
Pennatulacea,Whip Simple Umbellula,1,3,3,3,2,1,2,2.397915762
,Quill,1,3,3,3,2,1,2,2.397915762
,Whip,1,3,3,3,2,1,2,2.397915762
Scleractinia,Solitary,3,2,3,3,3,2,3,2.718570396
,Colonial,3,2,3,3,3,2,3,2.718570396
Pterobranchia,Acorn,2,2,2,NA,NA,3,3,2.291287847
